length_mm,width_mm,height_mm,thickness_mm,area_mm2,moment_of_inertia_mm4,material_name,youngs_modulus_MPa,poisson_ratio,yield_strength_MPa,density_kg_m3,force_N,moment_Nmm,pressure_MPa,torque_Nmm,load_type,boundary_condition,max_stress_MPa,von_mises_stress_MPa,safety_factor,deflection_mm,strain
1040.4,200.0,26.92,50.0,10000.0,325254.13,Stainless_Steel_304,193000,0.29,215,8000,24797.98,49494.95,50.0,24747.47,2,2,10.02,10.21,21.46,145.4396,5.2e-05
1059.6,10.0,29.36,2.0,20.0,21088.29,Aluminum_6061,69000,0.33,276,2700,25302.02,50505.05,0.0,25252.53,0,0,3464.89,3530.57,0.08,6767.2085,0.050216
1078.79,13.88,31.79,3.66,50.72,37170.88,Steel_AISI_1020,200000,0.29,350,7850,25806.06,51515.15,1.02,25757.58,1,1,1364.01,1388.7,0.26,1426.8771,0.00682
1097.98,17.76,34.23,5.31,94.29,59346.06,Titanium_Ti6Al4V,113800,0.342,880,4430,26310.1,52525.25,2.04,26262.63,2,2,1055.93,1073.95,0.83,1690.0695,0.009279
1117.17,21.63,36.67,6.97,150.68,88867.47,Copper_C11000,117000,0.355,220,8940,26814.14,53535.35,3.06,26767.68,0,0,492.6,500.4,0.45,1179.9003,0.00421
1136.36,25.51,39.1,8.62,219.92,127100.83,Stainless_Steel_304,193000,0.29,215,8000,27318.18,54545.45,4.08,27272.73,1,1,336.64,341.51,0.64,536.9497,0.001744
1155.56,29.39,41.54,10.28,301.98,175523.95,Aluminum_6061,69000,0.33,276,2700,27822.22,55555.56,5.1,27777.78,2,2,351.69,356.25,0.78,1166.4377,0.005097
1174.75,33.27,43.97,11.93,396.89,235726.73,Steel_AISI_1020,200000,0.29,350,7850,28326.26,56565.66,6.12,28282.83,0,0,200.72,203.0,1.74,321.0474,0.001004
1193.94,37.14,46.41,13.59,504.63,309411.15,Titanium_Ti6Al4V,113800,0.342,880,4430,28830.3,57575.76,7.14,28787.88,1,1,155.99,157.49,5.64,460.1011,0.001371
1213.13,41.02,48.85,15.24,625.21,398391.3,Copper_C11000,117000,0.355,220,8940,29334.34,58585.86,8.16,29292.93,2,2,180.32,181.72,1.22,371.6466,0.001541
1232.32,44.9,51.28,16.9,758.62,504593.35,Stainless_Steel_304,193000,0.29,215,8000,29838.38,59595.96,9.18,29797.98,0,0,113.63,114.3,1.89,190.0199,0.000589
1251.52,48.78,53.72,18.55,904.87,630055.54,Aluminum_6061,69000,0.33,276,2700,30342.42,60606.06,10.2,30303.03,1,1,92.13,92.49,3.0,454.2824,0.001335
1270.71,52.65,56.15,20.21,1063.95,776928.23,Steel_AISI_1020,200000,0.29,350,7850,30846.46,61616.16,11.22,30808.08,2,2,112.1,112.31,3.12,135.5151,0.00056
1289.9,56.53,58.59,21.86,1235.88,947473.86,Titanium_Ti6Al4V,113800,0.342,880,4430,31350.51,62626.26,12.24,31313.13,0,0,76.62,76.61,11.49,208.0306,0.000673
1309.09,60.41,61.03,23.52,1420.63,1144066.94,Copper_C11000,117000,0.355,220,8940,31854.55,63636.36,13.27,31818.18,1,1,61.96,61.83,3.55,178.3341,0.00053
1328.28,64.29,63.46,25.17,1618.23,1369194.09,Stainless_Steel_304,193000,0.29,215,8000,32358.59,64646.46,14.29,32323.23,2,2,77.74,77.42,2.77,96.0473,0.000403
1347.47,68.16,65.9,26.83,1828.66,1625454.02,Aluminum_6061,69000,0.33,276,2700,32862.63,65656.57,15.31,32828.28,0,0,58.14,57.79,4.75,240.3933,0.000843
1366.67,72.04,68.33,28.48,2051.92,1915557.52,Steel_AISI_1020,200000,0.29,350,7850,33366.67,66666.67,16.33,33333.33,1,1,45.14,44.78,7.75,74.6906,0.000226
1385.86,75.92,70.77,30.14,2288.02,2242327.48,Titanium_Ti6Al4V,113800,0.342,880,4430,33870.71,67676.77,17.35,33838.38,2,2,57.8,57.24,15.23,118.9058,0.000508
1405.05,79.8,73.21,31.79,2536.96,2608698.86,Copper_C11000,117000,0.355,220,8940,34374.75,68686.87,18.37,34343.43,0,0,48.34,47.8,4.55,105.3171,0.000413
1424.24,83.67,75.64,33.45,2798.73,3017718.72,Stainless_Steel_304,193000,0.29,215,8000,34878.79,69696.97,19.39,34848.48,1,1,34.72,34.28,6.19,58.4185,0.00018
1443.43,87.55,78.08,35.1,3073.34,3472546.23,Aluminum_6061,69000,0.33,276,2700,35382.83,70707.07,20.41,35353.54,2,2,45.11,44.47,6.12,150.1701,0.000654
1462.63,91.43,80.51,36.76,3360.79,3976452.61,Steel_AISI_1020,200000,0.29,350,7850,35886.87,71717.17,21.43,35858.59,0,0,43.28,42.61,8.09,47.8044,0.000216
1481.82,95.31,82.95,38.41,3661.07,4532821.2,Titanium_Ti6Al4V,113800,0.342,880,4430,36390.91,72727.27,22.45,36363.64,1,1,27.77,27.31,31.69,77.8069,0.000244
1501.01,99.18,85.38,40.07,3974.19,5145147.42,Copper_C11000,117000,0.355,220,8940,36894.95,73737.37,23.47,36868.69,2,2,36.46,35.82,6.03,70.3244,0.000312
1520.2,103.06,87.82,41.72,4300.14,5817038.77,Stainless_Steel_304,193000,0.29,215,8000,37398.99,74747.47,24.49,37373.74,0,0,41.02,40.27,5.24,39.7393,0.000213
1539.39,106.94,90.26,43.38,4638.93,6552214.86,Aluminum_6061,69000,0.33,276,2700,37903.03,75757.58,25.51,37878.79,1,1,22.86,22.42,12.07,103.9122,0.000331
1558.59,110.82,92.69,45.03,4990.56,7354507.37,Steel_AISI_1020,200000,0.29,350,7850,38407.07,76767.68,26.53,38383.84,2,2,30.26,29.67,11.57,33.6033,0.000151
1577.78,114.69,95.13,46.69,5355.02,8227860.07,Titanium_Ti6Al4V,113800,0.342,880,4430,38911.11,77777.78,27.55,38888.89,0,0,40.47,39.68,21.74,55.4936,0.000356
1596.97,118.57,97.56,48.34,5732.32,9176328.84,Copper_C11000,117000,0.355,220,8940,39415.15,78787.88,28.57,39393.94,1,1,19.23,18.85,11.44,50.8361,0.000164
1616.16,122.45,100.0,50.0,6122.45,10204081.63,Stainless_Steel_304,193000,0.29,215,8000,39919.19,79797.98,29.59,39898.99,2,2,25.62,25.12,8.39,29.0875,0.000133
1635.35,126.33,5.0,2.0,252.65,1315.9,Aluminum_6061,69000,0.33,276,2700,40423.23,80808.08,30.61,40404.04,0,0,466.39,457.49,0.59,661666.7292,0.006759
1654.55,130.2,7.44,3.66,475.92,4461.12,Steel_AISI_1020,200000,0.29,350,7850,40927.27,81818.18,31.63,40909.09,1,1,264.93,260.02,1.32,70563.8036,0.001325
1673.74,134.08,9.87,5.31,712.02,10749.21,Titanium_Ti6Al4V,113800,0.342,880,4430,41431.31,82828.28,32.65,41414.14,2,2,238.94,234.68,3.68,53896.279,0.0021
1692.93,137.96,12.31,6.97,960.96,21433.8,Copper_C11000,117000,0.355,220,8940,41935.35,83838.38,33.67,41919.19,0,0,139.73,137.36,1.57,27510.6638,0.001194
1712.12,141.84,14.74,8.62,1222.73,37880.63,Stainless_Steel_304,193000,0.29,215,8000,42439.39,84848.48,34.69,42424.24,1,1,101.45,99.85,2.12,9867.7099,0.000526
1731.31,145.71,17.18,10.28,1497.34,61567.49,Aluminum_6061,69000,0.33,276,2700,42943.43,85858.59,35.71,42929.29,2,2,114.82,113.14,2.4,17746.0064,0.001664
1750.51,149.59,19.62,11.93,1784.79,94084.29,Steel_AISI_1020,200000,0.29,350,7850,43447.47,86868.69,36.73,43434.34,0,0,89.2,88.02,3.92,4183.8897,0.000446
1769.7,153.47,22.05,13.59,2085.07,137133.02,Titanium_Ti6Al4V,113800,0.342,880,4430,43951.52,87878.79,37.76,43939.39,1,1,60.17,59.46,14.62,5264.9674,0.000529
1788.89,157.35,24.49,15.24,2398.18,192527.75,Copper_C11000,117000,0.355,220,8940,44455.56,88888.89,38.78,44444.44,2,2,73.17,72.43,3.01,3804.4425,0.000625
1808.08,161.22,26.92,16.9,2724.14,262194.66,Stainless_Steel_304,193000,0.29,215,8000,44959.6,89898.99,39.8,44949.49,0,0,71.43,70.84,3.01,1765.34,0.00037
1827.27,165.1,29.36,18.55,3062.93,348171.99,Aluminum_6061,69000,0.33,276,2700,45463.64,90909.09,40.82,45454.55,1,1,41.73,41.46,6.61,3874.0633,0.000605
1846.46,168.98,31.79,20.21,3414.55,452610.1,Steel_AISI_1020,200000,0.29,350,7850,45967.68,91919.19,41.84,45959.6,2,2,52.58,52.33,6.66,1070.6029,0.000263
1865.66,172.86,34.23,21.86,3779.01,577771.43,Titanium_Ti6Al4V,113800,0.342,880,4430,46471.72,92929.29,42.86,46464.65,0,0,63.96,63.79,13.76,1534.0607,0.000562
1884.85,176.73,36.67,23.52,4156.31,726030.49,Copper_C11000,117000,0.355,220,8940,46975.76,93939.39,43.88,46969.7,1,1,31.41,31.38,7.0,1235.2531,0.000268
1904.04,180.61,39.1,25.17,4546.45,899873.9,Stainless_Steel_304,193000,0.29,215,8000,47479.8,94949.49,44.9,47474.75,2,2,40.41,40.47,5.32,628.237,0.000209
1923.23,184.49,41.54,26.83,4949.42,1101900.37,Aluminum_6061,69000,0.33,276,2700,47983.84,95959.6,45.92,47979.8,0,0,60.88,61.08,4.53,1491.6241,0.000882
1942.42,188.37,43.97,28.48,5365.22,1334820.68,Steel_AISI_1020,200000,0.29,350,7850,48487.88,96969.7,46.94,48484.85,1,1,24.87,25.0,14.08,441.3885,0.000124
1961.62,192.24,46.41,30.14,5793.86,1601457.73,Titanium_Ti6Al4V,113800,0.342,880,4430,48991.92,97979.8,47.96,48989.9,2,2,32.46,32.69,27.11,671.5623,0.000285
1980.81,196.12,48.85,31.79,6235.34,1904746.48,Copper_C11000,117000,0.355,220,8940,49495.96,98989.9,48.98,49494.95,0,0,60.02,60.56,3.67,570.23,0.000513
2000.0,200.0,51.28,33.45,6689.66,2247734.0,Stainless_Steel_304,193000,0.29,215,8000,50000.0,100000.0,50.0,50000.0,1,1,20.39,20.61,10.54,304.0677,0.000106
100.0,10.0,53.72,35.1,351.03,129174.57,Aluminum_6061,69000,0.33,276,2700,100.0,0.0,0.0,0.0,2,2,1.07,1.08,257.61,0.0037,1.6e-05
119.19,13.88,56.15,36.76,510.12,204771.78,Steel_AISI_1020,200000,0.29,350,7850,604.04,1010.1,1.02,505.05,0,0,3.75,3.81,93.21,0.0082,1.9e-05
138.38,17.76,58.59,38.41,682.04,297582.04,Titanium_Ti6Al4V,113800,0.342,880,4430,1108.08,2020.2,2.04,1010.1,1,1,4.43,4.5,198.67,0.0285,3.9e-05
157.58,21.63,61.03,40.07,866.8,409699.65,Copper_C11000,117000,0.355,220,8940,1612.12,3030.3,3.06,1515.15,2,2,7.11,7.23,30.95,0.0431,6.1e-05
176.77,25.51,63.46,41.72,1064.39,543330.99,Stainless_Steel_304,193000,0.29,215,8000,2116.16,4040.4,4.08,2020.2,0,0,7.88,8.02,27.3,0.0365,4.1e-05
195.96,29.39,65.9,43.38,1274.82,700794.55,Aluminum_6061,69000,0.33,276,2700,2620.2,5050.51,5.1,2525.25,1,1,5.6,5.7,49.32,0.1334,8.1e-05
215.15,33.27,68.33,45.03,1498.09,884520.9,Steel_AISI_1020,200000,0.29,350,7850,3124.24,6060.61,6.12,3030.3,2,2,7.96,8.11,43.97,0.0575,4e-05
234.34,37.14,70.77,46.69,1734.19,1097052.69,Titanium_Ti6Al4V,113800,0.342,880,4430,3628.28,7070.71,7.14,3535.35,0,0,10.55,10.76,83.44,0.1222,9.3e-05
253.54,41.02,73.21,48.34,1983.12,1341044.68,Copper_C11000,117000,0.355,220,8940,4132.32,8080.81,8.16,4040.4,1,1,5.66,5.78,38.85,0.1402,4.8e-05
272.73,44.9,75.64,50.0,2244.9,1619263.71,Stainless_Steel_304,193000,0.29,215,8000,4636.36,9090.91,9.18,4545.45,2,2,7.87,8.03,27.31,0.0983,4.1e-05
291.92,48.78,78.08,2.0,97.55,1934588.69,Aluminum_6061,69000,0.33,276,2700,5140.4,10101.01,10.2,5050.51,0,0,147.73,150.73,1.87,0.313,0.002141
311.11,52.65,80.51,3.66,192.46,2290010.65,Steel_AISI_1020,200000,0.29,350,7850,5644.44,11111.11,11.22,5555.56,1,1,77.88,79.44,4.49,0.1213,0.000389
330.3,56.53,82.95,5.31,300.2,2688632.7,Titanium_Ti6Al4V,113800,0.342,880,4430,6148.48,12121.21,12.24,6060.61,2,2,76.65,78.14,11.48,0.2368,0.000674
349.49,60.41,85.38,6.97,420.77,3133670.03,Copper_C11000,117000,0.355,220,8940,6652.53,13131.31,13.27,6565.66,0,0,49.45,50.38,4.45,0.2534,0.000423
368.69,64.29,87.82,8.62,554.19,3628449.93,Stainless_Steel_304,193000,0.29,215,8000,7156.57,14141.41,14.29,7070.71,1,1,34.42,35.04,6.25,0.1677,0.000178
387.88,68.16,90.26,10.28,700.44,4176411.76,Aluminum_6061,69000,0.33,276,2700,7660.61,15151.52,15.31,7575.76,2,2,41.09,41.78,6.72,0.5085,0.000596
407.07,72.04,92.69,11.93,859.52,4781107.0,Steel_AISI_1020,200000,0.29,350,7850,8164.65,16161.62,16.33,8080.81,0,0,35.22,35.77,9.94,0.189,0.000176
426.26,75.92,95.13,13.59,1031.44,5446199.19,Titanium_Ti6Al4V,113800,0.342,880,4430,8668.69,17171.72,17.35,8585.86,1,1,22.51,22.83,39.09,0.356,0.000198
445.45,79.8,97.56,15.24,1216.2,6175463.99,Copper_C11000,117000,0.355,220,8940,9172.73,18181.82,18.37,9090.91,2,2,28.48,28.84,7.73,0.3694,0.000243
464.65,83.67,100.0,16.9,1413.79,6972789.12,Stainless_Steel_304,193000,0.29,215,8000,9676.77,19191.92,19.39,9595.96,0,0,31.38,31.72,6.85,0.2378,0.000163
483.84,87.55,5.0,18.55,1624.22,911.99,Aluminum_6061,69000,0.33,276,2700,10180.81,20202.02,20.41,10101.01,1,1,61.72,62.29,4.47,6052.1539,0.000894
503.03,91.43,7.44,20.21,1847.49,3132.57,Steel_AISI_1020,200000,0.29,350,7850,10684.85,21212.12,21.43,10606.06,2,2,37.39,37.67,9.36,718.2611,0.000187
522.22,95.31,9.87,21.86,2083.59,7640.61,Titanium_Ti6Al4V,113800,0.342,880,4430,11188.89,22222.22,22.45,11111.11,0,0,31.01,31.18,28.38,607.5367,0.000272
541.41,99.18,12.31,23.52,2332.53,15409.51,Copper_C11000,117000,0.355,220,8940,11692.93,23232.32,23.47,11616.16,1,1,18.45,18.51,11.92,341.8824,0.000158
560.61,103.06,14.74,25.17,2594.3,27524.77,Stainless_Steel_304,193000,0.29,215,8000,12196.97,24242.42,24.49,12121.21,2,2,20.69,20.72,10.39,134.6316,0.000107
579.8,106.94,17.18,26.83,2868.91,45183.99,Aluminum_6061,69000,0.33,276,2700,12701.01,25252.53,25.51,12626.26,0,0,32.12,32.11,8.59,264.7925,0.000466
598.99,110.82,19.62,28.48,3156.35,69696.82,Steel_AISI_1020,200000,0.29,350,7850,13205.05,26262.63,26.53,13131.31,1,1,12.95,12.92,27.02,68.0286,6.5e-05
618.18,114.69,22.05,30.14,3456.64,102485.05,Titanium_Ti6Al4V,113800,0.342,880,4430,13709.09,27272.73,27.55,13636.36,2,2,16.31,16.24,53.95,92.97,0.000143
637.37,118.57,24.49,31.79,3769.75,145082.52,Copper_C11000,117000,0.355,220,8940,14213.13,28282.83,28.57,14141.41,0,0,34.03,33.82,6.46,72.7263,0.000291
656.57,122.45,26.92,33.45,4095.71,199135.18,Stainless_Steel_304,193000,0.29,215,8000,14717.17,29292.93,29.59,14646.46,1,1,10.6,10.51,20.29,36.4231,5.5e-05
675.76,126.33,29.36,35.1,4434.5,266401.07,Aluminum_6061,69000,0.33,276,2700,15221.21,30303.03,30.61,15151.52,2,2,13.84,13.7,19.94,86.0253,0.000201
694.95,130.2,31.79,36.76,4786.12,348750.3,Steel_AISI_1020,200000,0.29,350,7850,15725.25,31313.13,31.63,15656.57,0,0,36.38,35.96,9.62,25.5167,0.000182
714.14,134.08,34.23,38.41,5150.58,448165.09,Titanium_Ti6Al4V,113800,0.342,880,4430,16229.29,32323.23,32.65,16161.62,1,1,9.12,9.0,96.48,39.143,8e-05
733.33,137.96,36.67,40.07,5527.88,566739.73,Copper_C11000,117000,0.355,220,8940,16733.33,33333.33,33.67,16666.67,2,2,12.11,11.94,18.16,33.6599,0.000104
752.53,141.84,39.1,41.72,5918.02,706680.63,Stainless_Steel_304,193000,0.29,215,8000,17237.37,34343.43,34.69,17171.72,0,0,38.98,38.37,5.52,18.2389,0.000202
771.72,145.71,41.54,43.38,6320.99,870306.26,Aluminum_6061,69000,0.33,276,2700,17741.41,35353.54,35.71,17676.77,1,1,8.05,7.92,34.28,46.0329,0.000117
790.91,149.59,43.97,45.03,6736.79,1060047.19,Steel_AISI_1020,200000,0.29,350,7850,18245.45,36363.64,36.73,18181.82,2,2,10.8,10.61,32.42,14.4482,5.4e-05
810.1,153.47,46.41,46.69,7165.43,1278446.09,Titanium_Ti6Al4V,113800,0.342,880,4430,18749.49,37373.74,37.76,18686.87,0,0,41.72,40.95,21.09,23.2674,0.000367
829.29,157.35,48.85,48.34,7606.91,1528157.69,Copper_C11000,117000,0.355,220,8940,19253.54,38383.84,38.78,19191.92,1,1,7.22,7.08,30.47,20.8688,6.2e-05
848.48,161.22,51.28,50.0,8061.22,1811948.84,Stainless_Steel_304,193000,0.29,215,8000,19757.58,39393.94,39.8,19696.97,2,2,9.74,9.55,22.07,11.7313,5e-05
867.68,165.1,53.72,2.0,330.2,2132698.46,Aluminum_6061,69000,0.33,276,2700,20261.62,40404.04,40.82,20202.02,0,0,193.17,189.39,1.43,30.5801,0.0028
886.87,168.98,56.15,3.66,617.65,2493397.58,Steel_AISI_1020,200000,0.29,350,7850,20765.66,41414.14,41.84,20707.07,1,1,92.9,91.08,3.77,9.8757,0.000465
906.06,172.86,58.59,5.31,917.93,2897149.3,Titanium_Ti6Al4V,113800,0.342,880,4430,21269.7,42424.24,42.86,21212.12,2,2,90.15,88.4,9.76,16.3118,0.000792
925.25,176.73,61.03,6.97,1231.05,3347168.81,Copper_C11000,117000,0.355,220,8940,21773.74,43434.34,43.88,21717.17,0,0,78.33,76.85,2.81,14.9645,0.00067
944.44,180.61,63.46,8.62,1557.0,3846783.4,Stainless_Steel_304,193000,0.29,215,8000,22277.78,44444.44,44.9,22222.22,1,1,39.56,38.83,5.44,8.5843,0.000205
963.64,184.49,65.9,10.28,1895.79,4399432.44,Aluminum_6061,69000,0.33,276,2700,22781.82,45454.55,45.92,22727.27,2,2,46.72,45.9,5.91,22.7881,0.000677
982.83,188.37,68.33,11.93,2247.42,5008667.41,Steel_AISI_1020,200000,0.29,350,7850,23285.86,46464.65,46.94,23232.32,0,0,64.4,63.32,5.43,7.4815,0.000322
1002.02,192.24,70.77,13.59,2611.88,5678151.84,Titanium_Ti6Al4V,113800,0.342,880,4430,23789.9,47474.75,47.96,23737.37,1,1,25.14,24.74,35.01,12.5431,0.000221
1021.21,196.12,73.21,15.24,2989.18,6411661.39,Copper_C11000,117000,0.355,220,8940,24293.94,48484.85,48.98,24242.42,2,2,31.52,31.06,6.98,11.6646,0.000269
1040.4,200.0,75.64,16.9,3379.31,7213083.78,Stainless_Steel_304,193000,0.29,215,8000,24797.98,49494.95,50.0,24747.47,0,0,61.23,60.43,3.51,6.775,0.000317
1059.6,10.0,78.08,18.55,185.52,396631.15,Aluminum_6061,69000,0.33,276,2700,25302.02,50505.05,0.0,25252.53,1,1,375.04,370.74,0.74,370.8794,0.005435
1078.79,13.88,80.51,20.21,280.42,603568.7,Steel_AISI_1020,200000,0.29,350,7850,25806.06,51515.15,1.02,25757.58,2,2,355.51,352.02,0.98,90.353,0.001778
1097.98,17.76,82.95,21.86,388.16,844444.21,Titanium_Ti6Al4V,113800,0.342,880,4430,26310.1,52525.25,2.04,26262.63,0,0,191.41,189.86,4.6,121.7851,0.001682
1117.17,21.63,85.38,23.52,508.74,1122192.65,Copper_C11000,117000,0.355,220,8940,26814.14,53535.35,3.06,26767.68,1,1,144.41,143.51,1.52,95.5143,0.001234
1136.36,25.51,87.82,25.17,642.15,1439861.08,Stainless_Steel_304,193000,0.29,215,8000,27318.18,54545.45,4.08,27272.73,2,2,163.67,162.96,1.31,48.2938,0.000848
1155.56,29.39,90.26,26.83,788.4,1800608.66,Aluminum_6061,69000,0.33,276,2700,27822.22,55555.56,5.1,27777.78,0,0,100.75,100.51,2.74,115.4539,0.00146
1174.75,33.27,92.69,28.48,947.49,2207706.63,Steel_AISI_1020,200000,0.29,350,7850,28326.26,56565.66,6.12,28282.83,1,1,81.53,81.49,4.29,34.6816,0.000408
1193.94,37.14,95.13,30.14,1119.41,2664538.32,Titanium_Ti6Al4V,113800,0.342,880,4430,28830.3,57575.76,7.14,28787.88,2,2,98.6,98.76,8.93,53.8531,0.000866
1213.13,41.02,97.56,31.79,1304.17,3174599.14,Copper_C11000,117000,0.355,220,8940,29334.34,58585.86,8.16,29292.93,0,0,66.0,66.24,3.33,46.8318,0.000564
1232.32,44.9,100.0,33.45,1501.76,3741496.6,Stainless_Steel_304,193000,0.29,215,8000,29838.38,59595.96,9.18,29797.98,1,1,53.9,54.2,3.99,25.6338,0.000279
1251.52,48.78,5.0,35.1,1712.19,508.08,Aluminum_6061,69000,0.33,276,2700,30342.42,60606.06,10.2,30303.03,2,2,320.96,323.36,0.86,561331.5042,0.004652
1270.71,52.65,7.44,36.76,1935.45,1804.03,Steel_AISI_1020,200000,0.29,350,7850,30846.46,61616.16,11.22,30808.08,0,0,50.86,51.33,6.88,57931.4034,0.000254
1289.9,56.53,9.87,38.41,2171.56,4532.01,Titanium_Ti6Al4V,113800,0.342,880,4430,31350.51,62626.26,12.24,31313.13,1,1,87.28,88.25,10.08,43009.7503,0.000767
1309.09,60.41,12.31,40.07,2420.49,9385.22,Copper_C11000,117000,0.355,220,8940,31854.55,63636.36,13.27,31818.18,2,2,73.57,74.51,2.99,21420.4906,0.000629
1328.28,64.29,14.74,41.72,2682.27,17168.92,Stainless_Steel_304,193000,0.29,215,8000,32358.59,64646.46,14.29,32323.23,0,0,41.28,41.87,5.21,7521.1505,0.000214
1347.47,68.16,17.18,43.38,2956.88,28800.48,Aluminum_6061,69000,0.33,276,2700,32862.63,65656.57,15.31,32828.28,1,1,40.27,40.9,6.85,13278.3563,0.000584
1366.67,72.04,19.62,45.03,3244.32,45309.35,Steel_AISI_1020,200000,0.29,350,7850,33366.67,66666.67,16.33,33333.33,2,2,45.41,46.18,7.71,3080.9498,0.000227
1385.86,75.92,22.05,46.69,3544.6,67837.08,Titanium_Ti6Al4V,113800,0.342,880,4430,33870.71,67676.77,17.35,33838.38,0,0,36.46,37.11,24.14,3824.0107,0.00032
1405.05,79.8,24.49,48.34,3857.72,97637.29,Copper_C11000,117000,0.355,220,8940,34374.75,68686.87,18.37,34343.43,1,1,27.76,28.29,7.92,2730.7656,0.000237
1424.24,83.67,26.92,50.0,4183.67,136075.71,Stainless_Steel_304,193000,0.29,215,8000,34878.79,69696.97,19.39,34848.48,2,2,34.25,34.92,6.28,1254.442,0.000177
1443.43,87.55,29.36,2.0,175.1,184630.14,Aluminum_6061,69000,0.33,276,2700,35382.83,70707.07,20.41,35353.54,0,0,559.43,570.64,0.49,2729.5852,0.008108
1462.63,91.43,31.79,3.66,334.19,244890.49,Steel_AISI_1020,200000,0.29,350,7850,35886.87,71717.17,21.43,35858.59,1,1,286.31,292.13,1.22,748.9876,0.001432
1481.82,95.31,34.23,5.31,506.11,318558.74,Titanium_Ti6Al4V,113800,0.342,880,4430,36390.91,72727.27,22.45,36363.64,2,2,269.87,275.38,3.26,1066.9673,0.002371
1501.01,99.18,36.67,6.97,690.87,407448.98,Copper_C11000,117000,0.355,220,8940,36894.95,73737.37,23.47,36868.69,0,0,155.76,158.92,1.41,855.0998,0.001331
1520.2,103.06,39.1,8.62,888.46,513487.37,Stainless_Steel_304,193000,0.29,215,8000,37398.99,74747.47,24.49,37373.74,1,1,112.7,114.95,1.91,433.2871,0.000584
1539.39,106.94,41.54,10.28,1098.89,638712.16,Aluminum_6061,69000,0.33,276,2700,37903.03,75757.58,25.51,37878.79,2,2,129.87,132.39,2.13,1025.8773,0.001882
1558.59,110.82,43.97,11.93,1322.15,785273.71,Steel_AISI_1020,200000,0.29,350,7850,38407.07,76767.68,26.53,38383.84,0,0,92.21,93.93,3.8,302.9634,0.000461
1577.78,114.69,46.41,13.59,1558.25,955434.44,Titanium_Ti6Al4V,113800,0.342,880,4430,38911.11,77777.78,27.55,38888.89,1,1,67.1,68.29,13.11,460.3606,0.00059
1596.97,118.57,48.85,15.24,1807.19,1151568.89,Copper_C11000,117000,0.355,220,8940,39415.15,78787.88,28.57,39393.94,2,2,82.42,83.79,2.67,390.6399,0.000704
1616.16,122.45,51.28,16.9,2068.97,1376163.68,Stainless_Steel_304,193000,0.29,215,8000,39919.19,79797.98,29.59,39898.99,0,0,69.09,70.16,3.11,208.2805,0.000358
1635.35,126.33,53.72,18.55,2343.57,1631817.49,Aluminum_6061,69000,0.33,276,2700,40423.23,80808.08,30.61,40404.04,1,1,46.55,47.2,5.93,516.169,0.000675
1654.55,130.2,56.15,20.21,2631.02,1921241.13,Steel_AISI_1020,200000,0.29,350,7850,40927.27,81818.18,31.63,40909.09,2,2,59.05,59.78,5.93,158.8364,0.000295
1673.74,134.08,58.59,21.86,2931.3,2247257.49,Titanium_Ti6Al4V,113800,0.342,880,4430,41431.31,82828.28,32.65,41414.14,0,0,58.94,59.57,14.93,250.5117,0.000518
1692.93,137.96,61.03,23.52,3244.42,2612801.52,Copper_C11000,117000,0.355,220,8940,41935.35,83838.38,33.67,41919.19,1,1,35.05,35.37,6.28,219.8881,0.0003
1712.12,141.84,63.46,25.17,3570.37,3020920.3,Stainless_Steel_304,193000,0.29,215,8000,42439.39,84848.48,34.69,42424.24,2,2,45.36,45.68,4.74,120.9138,0.000235
1731.31,145.71,65.9,26.83,3909.16,3474772.97,Aluminum_6061,69000,0.33,276,2700,42943.43,85858.59,35.71,42929.29,0,0,54.51,54.79,5.06,308.2331,0.00079
1750.51,149.59,68.33,28.48,4260.79,3977630.78,Steel_AISI_1020,200000,0.29,350,7850,43447.47,86868.69,36.73,43434.34,1,1,27.81,27.9,12.59,97.3383,0.000139
1769.7,153.47,70.77,30.14,4625.25,4532877.05,Titanium_Ti6Al4V,113800,0.342,880,4430,43951.52,87878.79,37.76,43939.39,2,2,36.47,36.51,24.13,157.2182,0.00032
1788.89,157.35,73.21,31.79,5002.55,5144007.21,Copper_C11000,117000,0.355,220,8940,44455.56,88888.89,38.78,44444.44,0,0,53.04,53.0,4.15,141.0606,0.000453
1808.08,161.22,75.64,33.45,5392.68,5814628.76,Stainless_Steel_304,193000,0.29,215,8000,44959.6,89898.99,39.8,44949.49,1,1,22.86,22.8,9.4,79.1547,0.000118
1827.27,165.1,78.08,35.1,5795.65,6548461.3,Aluminum_6061,69000,0.33,276,2700,45463.64,90909.09,40.82,45454.55,2,2,30.28,30.13,9.12,205.5965,0.000439
1846.46,168.98,80.51,36.76,6211.46,7349336.52,Steel_AISI_1020,200000,0.29,350,7850,45967.68,91919.19,41.84,45959.6,0,0,53.24,52.89,6.57,66.0625,0.000266
1865.66,172.86,82.95,38.41,6640.1,8221198.19,Titanium_Ti6Al4V,113800,0.342,880,4430,46471.72,92929.29,42.86,46464.65,1,1,19.3,19.13,45.61,108.4329,0.00017
1884.85,176.73,85.38,40.07,7081.58,9168102.19,Copper_C11000,117000,0.355,220,8940,46975.76,93939.39,43.88,46969.7,2,2,25.74,25.48,8.55,98.7533,0.00022
